주차장명,주소,총 주차면,현재 주차 차량수,"토요일 유,무료 구분명","공휴일 유,무료 구분명",기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),위도,경도
용산주차빌딩 공영주차장(시),용산구 한강로2가 12-9,561,112,무료,무료,300.0,5.0,300.0,5.0,126.96529,37.5343509
웃우물 공영주차장(시),양천구 신정동 943-25,79,59,무료,무료,220.0,5.0,220.0,5.0,126.8514075,37.5237823
원효대교 남단 공영주차장(시),영등포구 여의도동 5-0,13,5,무료,무료,160.0,5.0,160.0,5.0,126.9329757,37.5199157
을지로 공영주차장(시),중구 을지로3가 282-8,81,67,무료,유료,750.0,5.0,750.0,5.0,126.9936304,37.5664112
일원역 공영주차장(시),강남구 일원동 716-2,67,52,무료,유료,170.0,5.0,170.0,5.0,127.084076,37.4846806
잠실역 공영주차장(시),송파구 신천동 27-0,357,564,무료,무료,400.0,5.0,400.0,5.0,127.103363,37.5142234
장안1동 공영주차장(시),동대문구 장안동 392-3,71,55,무료,무료,130.0,5.0,130.0,5.0,127.0671038,37.5696183
장안2동 공영주차장(시),동대문구 장안동 286-9,80,59,무료,무료,130.0,5.0,130.0,5.0,127.0706185,37.5782812
종묘주차장 공영주차장(시),종로구 훈정동 2-0,1317,746,무료,무료,400.0,5.0,400.0,5.0,126.9950439,37.5715067
중곡1동 공영주차장(시),광진구 중곡동 230-12,132,82,무료,무료,200.0,5.0,200.0,5.0,127.0807853,37.5645179
진흥로 공영주차장(시),은평구 역촌동 41-8,14,9,유료,유료,200.0,5.0,200.0,5.0,126.9205944,37.6017739
창동역(서) 공영주차장(시),도봉구 창동 330-0,106,48,무료,무료,260.0,5.0,260.0,5.0,127.0456275,37.6523534
천왕역 공영주차장(시),구로구 천왕동 280-11,327,66,무료,무료,170.0,5.0,170.0,5.0,126.8391426,37.487176
천호역 공영주차장(시),강동구 천호동 455-0,1431,828,무료,무료,260.0,5.0,260.0,5.0,127.1251279,37.5385095
청계1(북) 공영주차장(시),종로구 관철동 13-14,12,7,무료,유료,750.0,5.0,750.0,5.0,126.9875127,37.5690032
청계2(북1) 공영주차장(시),종로구 관수동 91-4,12,6,무료,유료,750.0,5.0,750.0,5.0,126.9905455,37.5683862
청계2(북2) 공영주차장(시),종로구 관수동 91-4,9,4,무료,유료,750.0,5.0,750.0,5.0,126.9905455,37.5683862
청계3(동호로) 공영주차장(시),중구 방산동 4-47 0,12,5,무료,유료,750.0,5.0,750.0,5.0,127.0017466,37.5692052
청계3(북1) 공영주차장(시),종로구 예지동 140-1,19,10,무료,유료,750.0,5.0,750.0,5.0,126.9971698,37.5688261
청계3(창경궁로_남) 공영주차장(시),중구 주교동 123-1 0,12,8,무료,유료,750.0,5.0,750.0,5.0,126.997671,37.5683501
청계3(창경궁로_북1) 공영주차장(시),종로구 예지동 140-1,6,4,무료,유료,750.0,5.0,750.0,5.0,126.9971698,37.5688261
청계5(동호로_남) 공영주차장(시),중구 방산동 4-47 0,11,3,무료,유료,750.0,5.0,750.0,5.0,127.0017466,37.5692052
청계5(동호로_북) 공영주차장(시),종로구 종로5가 458-2,6,2,무료,유료,750.0,5.0,750.0,5.0,127.0025439,37.569684
청계5(북1) 공영주차장(시),종로구 종로5가 458-2,25,10,무료,유료,750.0,5.0,750.0,5.0,127.0025439,37.569684
청계6(동평화) 공영주차장(시),중구 신당동 217-91 0,6,4,무료,유료,450.0,5.0,450.0,5.0,127.0149512,37.5694828
청계6(북) 공영주차장(시),종로구 종로6가 289-49,28,4,무료,유료,450.0,5.0,450.0,5.0,127.0080381,37.569802
